source_file,substation,raw_segment
11.pdf,Черкаська міська філія,об'єктів
11.pdf,Черкаська міська філія,б
11.pdf,Черкаська міська філія,об'єктів
11.pdf,Черкаська міська філія,Черкаська
11.pdf,Черкаська міська філія,ЗОШ I
11.pdf,Черкаська міська філія,ЧДТУ
11.pdf,Черкаська міська філія,об'єктів
11.pdf,Черкаська міська філія,Горова
11.pdf,Черкаська міська філія,Гоголя
11.pdf,Черкаська міська філія,Надпільна
11.pdf,Черкаська міська філія,Садова
11.pdf,Черкаська міська філія,Різдвяна
11.pdf,Черкаська міська філія,об'єктів
11.pdf,Черкаська міська філія,Шевченка
11.pdf,Черкаська міська філія,Дружби
11.pdf,Черкаська міська філія,Чорний Яр
12.pdf,Канівська філія,Хмільна
12.pdf,Жашківська філія,Адамівка
12.pdf,Жашківська філія,Шуляки
12.pdf,Жашківська філія,Кривчунка
12.pdf,Жашківська філія,Житники
12.pdf,Жашківська філія,Леміщиха
12.pdf,Лисянська філія,Шульги
12.pdf,Лисянська філія,Верещаки
12.pdf,Маньківська філія,Березівка
12.pdf,Маньківська філія,населення
12.pdf,Маньківська філія,Русалівка
12.pdf,Маньківська філія,Ульянівка
12.pdf,Монастирищенська філія,населення
12.pdf,Монастирищенська філія,МКЗ
12.pdf,Монастирищенська філія,мережі
12.pdf,Монастирищенська філія,Прохожа
12.pdf,Монастирищенська філія,Туристів
12.pdf,Монастирищенська філія,Робоча
12.pdf,Монастирищенська філія,Садова
12.pdf,Монастирищенська філія,Східна
12.pdf,Монастирищенська філія,Шевченка
12.pdf,Монастирищенська філія,Стуса
12.pdf,Монастирищенська філія,Базарна
12.pdf,Монастирищенська філія,Гоголя
12.pdf,Монастирищенська філія,Осипенка
12.pdf,Христинівська філія,Миру
12.pdf,Христинівська філія,Набережна
21.pdf,Городищенська філія,Чехова
21.pdf,Городищенська філія,Шкільна
21.pdf,Городищенська філія,Чубівська
21.pdf,Городищенська філія,Малий
21.pdf,Городищенська філія,Шкiльний
21.pdf,Городищенська філія,Гаркуша
21.pdf,Городищенська філія,Шевченка
21.pdf,Городищенська філія,І.Підкови
21.pdf,Городищенська філія,Різдвяна
21.pdf,Городищенська філія,Д.Кушніра
21.pdf,Городищенська філія,Зелена
21.pdf,Городищенська філія,Макаренка
21.pdf,Городищенська філія,Довженка
21.pdf,Городищенська філія,Правика
21.pdf,Городищенська філія,Садовий
21.pdf,Городищенська філія,Д.Кушніра
21.pdf,Драбівська філія,ПНВП
21.pdf,Драбівська філія,частково
21.pdf,Драбівська філія,Космічна
21.pdf,Драбівська філія,ради
21.pdf,Драбівська філія,Згарська
21.pdf,Драбівська філія,О.Вишні
21.pdf,Драбівська філія,Постишева
21.pdf,Драбівська філія,І.Сошенка
21.pdf,Драбівська філія,Павленка
21.pdf,Драбівська філія,Поповича
21.pdf,Драбівська філія,Зелений
21.pdf,Драбівська філія,н пляжу
21.pdf,Золотоніська філія,селеще
21.pdf,Золотоніська філія,Гонти
21.pdf,Золотоніська філія,упр
21.pdf,Золотоніська філія,В.В
21.pdf,Золотоніська філія,ФО
21.pdf,Золотоніська філія,Троїцької
21.pdf,Золотоніська філія,Сергія
21.pdf,Золотоніська філія,во
21.pdf,Золотоніська філія,Свято
21.pdf,Золотоніська філія,Відділ
21.pdf,Золотоніська філія,Польова
21.pdf,Золотоніська філія,СП
21.pdf,Золотоніська філія,Свято
21.pdf,Золотоніська філія,пров
21.pdf,Золотоніська філія,й
21.pdf,Золотоніська філія,Тичини
21.pdf,Золотоніська філія,Садова
21.pdf,Золотоніська філія,Носа
21.pdf,Золотоніська філія,Шкільна
21.pdf,Золотоніська філія,Селищна
21.pdf,Золотоніська філія,Воїнів
21.pdf,Золотоніська філія,Зарічна
21.pdf,Золотоніська філія,Берегова
21.pdf,Золотоніська філія,Садова
21.pdf,Корсунь-Шевченківська філія,Плехов
21.pdf,Корсунь-Шевченківська філія,Кириленко
21.pdf,Корсунь-Шевченківська філія,Дружна
21.pdf,Корсунь-Шевченківська філія,Стеценка
21.pdf,Корсунь-Шевченківська філія,Нечуя
21.pdf,Корсунь-Шевченківська філія,Чіковані
21.pdf,Корсунь-Шевченківська філія,Стеценка
21.pdf,Смілянська міська філія,Метеля
21.pdf,Смілянська міська філія,Бараннік
21.pdf,Смілянська міська філія,Тимченко
21.pdf,Смілянська міська філія,Кривенко
21.pdf,Смілянська міська філія,Лисак
21.pdf,Смілянська міська філія,Темченко
21.pdf,Смілянська міська філія,Панченко
21.pdf,Смілянська міська філія,Разгулов
21.pdf,Смілянська міська філія,Підлубна
21.pdf,Смілянська міська філія,Сліпченко
21.pdf,Смілянська міська філія,Підлубна
21.pdf,Смілянська міська філія,Плюта
21.pdf,Смілянська міська філія,Кузьменко
21.pdf,Смілянська міська філія,Редчиць
21.pdf,Смілянська міська філія,Ганжа
21.pdf,Смілянська міська філія,Дяков
21.pdf,Смілянська міська філія,Плюта
21.pdf,Смілянська міська філія,СМГО
21.pdf,Смілянська міська філія,УЖКГ
21.pdf,Смілянська міська філія,Почтамцев
21.pdf,Смілянська міська філія,Ірклієнко
21.pdf,Смілянська міська філія,Редчиць
21.pdf,Смілянська міська філія,Гладкий
21.pdf,Смілянська міська філія,Крот
21.pdf,Смілянська міська філія,Ястребов
21.pdf,Смілянська міська філія,Щербина
21.pdf,Смілянська міська філія,Бойко
21.pdf,Смілянська міська філія,Кохась
21.pdf,Смілянська міська філія,Ткаченко
21.pdf,Смілянська міська філія,Кривошея
21.pdf,Смілянська міська філія,Снітко
21.pdf,Смілянська міська філія,Ярощук
21.pdf,Смілянська міська філія,Даценко
21.pdf,Смілянська міська філія,Куценко
21.pdf,Смілянська міська філія,Линник
21.pdf,Смілянська міська філія,Толстопят
21.pdf,Смілянська міська філія,Плюта
21.pdf,Смілянська міська філія,Нечай
21.pdf,Смілянська міська філія,Зоренко
21.pdf,Смілянське відділення,населення
21.pdf,Смілянське відділення,п/п
21.pdf,Смілянське відділення,населення
21.pdf,Смілянське відділення,РСТ
21.pdf,Смілянське відділення,ЗОШ
21.pdf,Смілянське відділення,ДНЗ
21.pdf,Смілянське відділення,населення
21.pdf,Смілянське відділення,аптека
21.pdf,Смілянське відділення,лікарня
21.pdf,Смілянське відділення,ДНЗ(ясла
21.pdf,Смілянське відділення,монастир
21.pdf,Смілянське відділення,школа
21.pdf,Смілянське відділення,клуб
21.pdf,Смілянське відділення,котельна
21.pdf,Смілянське відділення,СТК ТСОУ
21.pdf,Смілянське відділення,школа
21.pdf,Чорнобаївська філія,Комашко
21.pdf,Чорнобаївська філія,Л
21.pdf,Чорнобаївська філія,Шевченка
21.pdf,Чорнобаївська філія,Касименка
21.pdf,Чорнобаївська філія,Яблунева
21.pdf,Чорнобаївська філія,Гоголя
21.pdf,Чорнобаївська філія,Миру
21.pdf,Чорнобаївська філія,Короленка
21.pdf,Чорнобаївська філія,Пушкіна
21.pdf,Чорнобаївська філія,Вишневе
21.pdf,Чорнобаївська філія,Нагірна
21.pdf,Чорнобаївська філія,Садова
21.pdf,Чорнобаївська філія,Зелена
21.pdf,Чорнобаївська філія,Молодіжна
21.pdf,Чорнобаївська філія,Берегова
21.pdf,Чорнобаївська філія,Садова
21.pdf,Чорнобаївська філія,Набережна
21.pdf,Чорнобаївська філія,Шевченка
21.pdf,Чорнобаївська філія,Гриценка
21.pdf,Чорнобаївська філія,Степова
21.pdf,Шполянська філія,г
21.pdf,Шполянська філія,г
21.pdf,Шполянська філія,Садова
21.pdf,Шполянська філія,Кільцева
21.pdf,Шполянська філія,Ковалівка
21.pdf,Шполянська філія,Баківка
21.pdf,Шполянська філія,Лютенка
21.pdf,Шполянська філія,Гончара
21.pdf,Шполянська філія,Квіткова
21.pdf,Шполянська філія,І.Франка
21.pdf,Шполянська філія,Корольова
21.pdf,Шполянська філія,Краєвидна
21.pdf,Шполянська філія,О.Вишні
21.pdf,Шполянська філія,Симоненка
21.pdf,Шполянська філія,ТСОУ
21.pdf,Шполянська філія,г
21.pdf,Шполянська філія,Антонівка
21.pdf,Шполянська філія,Гл.Балка
21.pdf,Шполянська філія,"Коротино, Маслове"
21.pdf,Шполянська філія,Г
21.pdf,Шполянська філія,Вітязеве
21.pdf,Шполянська філія,Козачани
21.pdf,Калинопільська філія,в. Миру
21.pdf,Калинопільська філія,в. Миру
21.pdf,Калинопільська філія,в
21.pdf,Тальнівська філія,Чумацька
21.pdf,Тальнівська філія,Франка
21.pdf,Тальнівська філія,Лисенка
21.pdf,Тальнівська філія,Кошового
21.pdf,Тальнівська філія,І. Гонти
21.pdf,Тальнівська філія,Миру
21.pdf,Тальнівська філія,Толстого
21.pdf,Тальнівська філія,Б
21.pdf,Тальнівська філія,Свободи
21.pdf,Тальнівська філія,Репіна
21.pdf,Черкаська міська філія,А
21.pdf,Черкаська міська філія,ДНЗ
21.pdf,Черкаська міська філія,В
21.pdf,Черкаська міська філія,Садова
21.pdf,Черкаська міська філія,Різдвяна
21.pdf,Черкаська міська філія,Чехова
21.pdf,Черкаська міська філія,Надпільна
21.pdf,Черкаська міська філія,Рєпіна
21.pdf,Черкаська міська філія,Лівицької
21.pdf,Черкаська міська філія,А
21.pdf,Черкаська міська філія,А
21.pdf,Черкаська міська філія,прв. Амет
21.pdf,Черкаська міська філія,Хана
21.pdf,Черкаська міська філія,Султана
21.pdf,Черкаська міська філія,А/К
21.pdf,Черкаська міська філія,ФО
21.pdf,Черкаська міська філія,ДП
22.pdf,Канівська філія,Гончара
22.pdf,Канівська філія,Торгова
22.pdf,Канівська філія,Кобзарева
